date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:48:25	359/359	---MCZ	200	added ('OK')	text/plain	date:Sat,%2030%20Jan%202021%2015:18:26%20GMT	https://fanaticforfitness79353315.wordpress.com/robots.txt		(from )
20:48:25	36377/36377	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Jan%202021%2015:18:26%20GMT	https://fanaticforfitness79353315.wordpress.com/	C:/My%20Web%20Sites/FFF/fanaticforfitness79353315.wordpress.com/index.html	(from )
20:48:25	2832/2832	---MCZ	200	added ('OK')	text/css	etag:W/%225dad8f47-eed%22	https://s1.wp.com/wp-content/themes/pub/varia/print.css?m=1571655471h&cssminify=yes	C:/My%20Web%20Sites/FFF/s1.wp.com/wp-content/themes/pub/varia/print9298.css	(from https://fanaticforfitness79353315.wordpress.com/)
20:48:25	1567/1567	---MCZ	200	added ('OK')	application/rss+xml	date:Sat,%2030%20Jan%202021%2015:18:26%20GMT	https://fanaticforfitness79353315.wordpress.com/feed/	C:/My%20Web%20Sites/FFF/fanaticforfitness79353315.wordpress.com/feed/index.html	(from https://fanaticforfitness79353315.wordpress.com/)
20:48:25	84350/84350	---MCZ	200	added ('OK')	text/css	etag:W/%226009a7bb-19db3%22	https://s0.wp.com/wp-content/themes/pub/balasana/style.css?m=1611245441h&cssminify=yes	C:/My%20Web%20Sites/FFF/s0.wp.com/wp-content/themes/pub/balasana/style8d68.css	(from https://fanaticforfitness79353315.wordpress.com/)
20:48:26	903/903	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%223af8a13b86c0e7dd9734fc5a510d6d94%22	https://fanaticforfitness79353315.wordpress.com/comments/feed/	C:/My%20Web%20Sites/FFF/fanaticforfitness79353315.wordpress.com/comments/feed/index.html	(from https://fanaticforfitness79353315.wordpress.com/)
20:48:26	125103/125103	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ff45973-1e8af%22	https://s0.wp.com/_static/??/wp-content/js/postmessage.js,/wp-content/js/mobile-useragent-info.js,/wp-includes/js/jquery/jquery.js?m=1609849039j	C:/My%20Web%20Sites/FFF/s0.wp.com/_static/indexbbab.html	(from https://fanaticforfitness79353315.wordpress.com/)
20:48:26	950/950	---MCZ	200	added ('OK')	text/xml	date:Sat,%2030%20Jan%202021%2015:18:27%20GMT	https://fanaticforfitness79353315.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/FFF/fanaticforfitness79353315.wordpress.com/xmlrpc0db0.php	(from https://fanaticforfitness79353315.wordpress.com/)
20:48:26	10046/10046	---M--	200	added ('OK')	image/png	etag:%225bffef52-273e%22	https://s2.wp.com/i/webclip.png	C:/My%20Web%20Sites/FFF/s2.wp.com/i/webclip.png	(from https://fanaticforfitness79353315.wordpress.com/)
20:48:27	1480/1480	---MCZ	200	added ('OK')	application/xml	date:Sat,%2030%20Jan%202021%2015:18:28%20GMT	https://fanaticforfitness79353315.wordpress.com/osd.xml	C:/My%20Web%20Sites/FFF/fanaticforfitness79353315.wordpress.com/osd.xml	(from https://fanaticforfitness79353315.wordpress.com/)
20:48:27	183816/183816	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202020%2019:48:04%20GMT	https://balasanastarter.files.wordpress.com/2020/06/beautiful-beauty-blond-hair-1882004.jpg?w=750	C:/My%20Web%20Sites/FFF/balasanastarter.files.wordpress.com/2020/06/beautiful-beauty-blond-hair-18820040353.jpg	(from https://fanaticforfitness79353315.wordpress.com/)
20:48:27	31576/31576	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Jan%202021%2015:18:28%20GMT	https://fanaticforfitness79353315.wordpress.com/testing/	C:/My%20Web%20Sites/FFF/fanaticforfitness79353315.wordpress.com/testing/index.html	(from https://fanaticforfitness79353315.wordpress.com/)
20:48:27	25110/25110	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Jan%202021%2015:18:28%20GMT	https://fanaticforfitness79353315.wordpress.com/category/uncategorized/	C:/My%20Web%20Sites/FFF/fanaticforfitness79353315.wordpress.com/category/uncategorized/index.html	(from https://fanaticforfitness79353315.wordpress.com/)
20:48:27	29601/29601	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Jan%202021%2015:18:29%20GMT	https://fanaticforfitness79353315.wordpress.com/experts/	C:/My%20Web%20Sites/FFF/fanaticforfitness79353315.wordpress.com/experts/index.html	(from https://fanaticforfitness79353315.wordpress.com/)
